"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 22 08:15:50 UTC 2025","Tue Apr 22 08:15:51 UTC 2025","917","","Playwright allows us to mock out API responses","","org.sashiba.PlaywrightRestAPITest$MockingAPIResponses","whenNoItemsAreFound","When a search returns no products",""
"passed","Tue Apr 22 08:16:13 UTC 2025","Tue Apr 22 08:16:14 UTC 2025","862","","Interacting with text fields","","org.sashiba.PlaywrightFormsTest$WhenInteractingWithTextFields","textFieldValues","Text fields",""
"passed","Tue Apr 22 08:15:53 UTC 2025","Tue Apr 22 08:15:54 UTC 2025","689","","org.sashiba.ASimplePlaywrightTest","","org.sashiba.ASimplePlaywrightTest","pageTitleTest","pageTitleTest()",""
"passed","Tue Apr 22 08:16:24 UTC 2025","Tue Apr 22 08:16:26 UTC 2025","1286","","org.sashiba.PlaywrightCollectionsTest","","org.sashiba.PlaywrightCollectionsTest","findingTheFirstMatchingItem","Finding the first matching item",""
"passed","Tue Apr 22 08:15:31 UTC 2025","Tue Apr 22 08:15:33 UTC 2025","1882","","org.sashiba.AnnotatedAddingItemsToTheCartTest","","org.sashiba.AnnotatedAddingItemsToTheCartTest","searchForPliers","Search for pliers",""
"passed","Tue Apr 22 08:15:50 UTC 2025","Tue Apr 22 08:15:51 UTC 2025","1075","","Making assertions about the contents of a field","","org.sashiba.PlaywrightAssertionsTest$LocatingElementsUsingCSS","textFieldValues","Checking the value of a text field",""
"passed","Tue Apr 22 08:16:33 UTC 2025","Tue Apr 22 08:16:42 UTC 2025","8741","","Shopping Cart","","org.sashiba.toolshop.catalog.AddToCartTest","whenCheckingOutMultipleItems","Checking for multiple items",""
"broken","Tue Apr 22 08:17:25 UTC 2025","Tue Apr 22 08:17:28 UTC 2025","2715","","Product Catalog","","The one where Sally searches for a more general term2","","The one where Sally searches for a more general term2","  As a customer,
  I want to easily search, filter and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online customer"
"passed","Tue Apr 22 08:16:30 UTC 2025","Tue Apr 22 08:16:32 UTC 2025","2713","","Locating elements by Labels and Placeholders","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByLabelsPlaceHolders","byPlaceholder","Using a placeholder text",""
"passed","Tue Apr 22 08:16:52 UTC 2025","Tue Apr 22 08:16:54 UTC 2025","1411","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","mandatoryFields","Mandatory fields [2] fieldName=Last name",""
"passed","Tue Apr 22 08:16:00 UTC 2025","Tue Apr 22 08:16:02 UTC 2025","2411","","Nested locators","","org.sashiba.PlaywrightLocatorsTest$NestedLocators","filteringMenuItems","filtering locators by text",""
"passed","Tue Apr 22 08:16:13 UTC 2025","Tue Apr 22 08:16:16 UTC 2025","2861","","Locating elements by text using CSS","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByTextUsingCSS","locateAProductItemByTextMatches","Using :text-matches",""
"passed","Tue Apr 22 08:15:25 UTC 2025","Tue Apr 22 08:15:26 UTC 2025","684","","org.sashiba.login.RegisterUserAPITest","","org.sashiba.login.RegisterUserAPITest","shouldRegisterUser","shouldRegisterUser()",""
"passed","Tue Apr 22 08:16:56 UTC 2025","Tue Apr 22 08:17:05 UTC 2025","8911","","Shopping Cart - Annotated","","org.sashiba.toolshop.catalog.AddToCartAnnotatedTest","whenCheckingOutMultipleItems","whenCheckingOutMultipleItems()",""
"passed","Tue Apr 22 08:15:28 UTC 2025","Tue Apr 22 08:15:31 UTC 2025","2849","","org.sashiba.login.LoginWithRegisteredUserTest","","org.sashiba.login.LoginWithRegisteredUserTest","shouldLoginWithRegisteredUser","Should be able to login with registered user",""
"passed","Tue Apr 22 08:15:39 UTC 2025","Tue Apr 22 08:15:41 UTC 2025","1734","","org.sashiba.PlaywrightRestAPITest.MakingAPICalls","","org.sashiba.PlaywrightRestAPITest$MakingAPICalls","checkKnownProducts","Check presence of known products Checking product Product[name=Wood Saw, price=12.18]",""
"passed","Tue Apr 22 08:16:06 UTC 2025","Tue Apr 22 08:16:07 UTC 2025","988","","Locating elements by text using CSS","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByTextUsingCSS","locateTheSendButtonByText","Using :has-text",""
"passed","Tue Apr 22 08:15:22 UTC 2025","Tue Apr 22 08:15:25 UTC 2025","2529","","org.sashiba.login.RegisterUserAPITest","","org.sashiba.login.RegisterUserAPITest","firstNameIsMandatory","firstNameIsMandatory()",""
"passed","Tue Apr 22 08:15:57 UTC 2025","Tue Apr 22 08:15:58 UTC 2025","1740","","Nested locators","","org.sashiba.PlaywrightLocatorsTest$NestedLocators","locatingAMenuItemUsingRoles","Using roles",""
"passed","Tue Apr 22 08:15:52 UTC 2025","Tue Apr 22 08:15:53 UTC 2025","904","","Making assertions about the contents of a field","","org.sashiba.PlaywrightAssertionsTest$LocatingElementsUsingCSS","dropdownFieldValues","Checking the value of a dropdown field",""
"passed","Tue Apr 22 08:15:43 UTC 2025","Tue Apr 22 08:15:44 UTC 2025","1295","","org.sashiba.PlaywrightRestAPITest.MakingAPICalls","","org.sashiba.PlaywrightRestAPITest$MakingAPICalls","checkKnownProducts","Check presence of known products Checking product Product[name=Angled Spanner, price=14.14]",""
"passed","Tue Apr 22 08:16:55 UTC 2025","Tue Apr 22 08:16:56 UTC 2025","1030","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","mandatoryFields","Mandatory fields [4] fieldName=Message",""
"passed","Tue Apr 22 08:16:28 UTC 2025","Tue Apr 22 08:16:32 UTC 2025","3476","","Finding text in a list","","org.sashiba.PlaywrightCollectionsTest$FindingTheTextInAList","withAllTextContents","and finding all the text values",""
"passed","Tue Apr 22 08:16:27 UTC 2025","Tue Apr 22 08:16:28 UTC 2025","1345","","org.sashiba.PlaywrightCollectionsTest","","org.sashiba.PlaywrightCollectionsTest","countingItemsOnThePage","Counting items in a list",""
"passed","Tue Apr 22 08:16:06 UTC 2025","Tue Apr 22 08:16:07 UTC 2025","1527","","org.sashiba.PlaywrightWaitsTest.AutomaticWaits","","org.sashiba.PlaywrightWaitsTest$AutomaticWaits","shouldWaitForTheFilterCheckboxes","Should wait for the filter checkbox options to appear before clicking",""
"passed","Tue Apr 22 08:15:34 UTC 2025","Tue Apr 22 08:15:36 UTC 2025","1785","","org.sashiba.PlaywrightRestAPITest.MakingAPICalls","","org.sashiba.PlaywrightRestAPITest$MakingAPICalls","checkKnownProducts","Check presence of known products Checking product Product[name=Sledgehammer, price=17.75]",""
"passed","Tue Apr 22 08:16:51 UTC 2025","Tue Apr 22 08:16:52 UTC 2025","1447","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","mandatoryFields","Mandatory fields [1] fieldName=First name",""
"passed","Tue Apr 22 08:15:51 UTC 2025","Tue Apr 22 08:15:52 UTC 2025","923","","Making assertions about the contents of a field","","org.sashiba.PlaywrightAssertionsTest$LocatingElementsUsingCSS","fieldValues","Checking the value of a field",""
"passed","Tue Apr 22 08:15:44 UTC 2025","Tue Apr 22 08:15:46 UTC 2025","1816","","org.sashiba.PlaywrightRestAPITest.MakingAPICalls","","org.sashiba.PlaywrightRestAPITest$MakingAPICalls","checkKnownProducts","Check presence of known products Checking product Product[name=Open-end Spanners (Set), price=38.51]",""
"passed","Tue Apr 22 08:17:11 UTC 2025","Tue Apr 22 08:17:21 UTC 2025","10481","","Shopping Cart - Annotated","","org.sashiba.toolshop.catalog.AddToCartAnnotatedTest","withoutPageObjects","Without Page Objects",""
"passed","Tue Apr 22 08:16:23 UTC 2025","Tue Apr 22 08:16:25 UTC 2025","2099","","Locating elements by role","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByRole","byButton","Using the BUTTON role",""
"passed","Tue Apr 22 08:15:44 UTC 2025","Tue Apr 22 08:15:46 UTC 2025","2585","","Making assertions about data values","","org.sashiba.PlaywrightAssertionsTest$MakingAssertionsAboutDataValues","shouldSortInAlphabeticalOrder","shouldSortInAlphabeticalOrder()",""
"failed","Tue Apr 22 08:15:15 UTC 2025","Tue Apr 22 08:15:16 UTC 2025","1795","","Searching for products","","org.sashiba.toolshop.catalog.SearchForProductsTest","whenSearchingByKeywordFail","When there are matching results - failed test",""
"passed","Tue Apr 22 08:15:58 UTC 2025","Tue Apr 22 08:16:00 UTC 2025","1740","","Nested locators","","org.sashiba.PlaywrightLocatorsTest$NestedLocators","locatingAMenuItemUsingRolesAndOtherStrategies","Using roles with other strategies",""
"broken","Tue Apr 22 08:17:28 UTC 2025","Tue Apr 22 08:17:30 UTC 2025","1639","","Product Catalog","","The one where Sally searches for a more general term1","","The one where Sally searches for a more general term1","  As a customer,
  I want to easily search, filter and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online customer"
"passed","Tue Apr 22 08:16:20 UTC 2025","Tue Apr 22 08:16:22 UTC 2025","1296","","Interacting with text fields","","org.sashiba.PlaywrightFormsTest$WhenInteractingWithTextFields","mandatoryFields","Mandatory fields [3] fieldName=Email",""
"passed","Tue Apr 22 08:16:19 UTC 2025","Tue Apr 22 08:16:20 UTC 2025","1333","","Interacting with text fields","","org.sashiba.PlaywrightFormsTest$WhenInteractingWithTextFields","mandatoryFields","Mandatory fields [2] fieldName=Last name",""
"passed","Tue Apr 22 08:15:48 UTC 2025","Tue Apr 22 08:15:49 UTC 2025","1743","","org.sashiba.PlaywrightRestAPITest.MakingAPICalls","","org.sashiba.PlaywrightRestAPITest$MakingAPICalls","checkKnownProducts","Check presence of known products Checking product Product[name=Mini Screwdriver, price=13.96]",""
"passed","Tue Apr 22 08:15:18 UTC 2025","Tue Apr 22 08:15:20 UTC 2025","1709","","Searching for products","","org.sashiba.toolshop.catalog.SearchForProductsTest","withoutPageObjects","Without Page Objects",""
"passed","Tue Apr 22 08:16:03 UTC 2025","Tue Apr 22 08:16:04 UTC 2025","1778","","Locating visible elements","","org.sashiba.PlaywrightLocatorsTest$LocatingVisibleElements","locateVisibleItems","Finding only visible elements",""
"passed","Tue Apr 22 08:16:23 UTC 2025","Tue Apr 22 08:16:24 UTC 2025","1847","","org.sashiba.PlaywrightCollectionsTest","","org.sashiba.PlaywrightCollectionsTest","findingNthMatchingItem","Finding the nth matching item",""
"passed","Tue Apr 22 08:16:10 UTC 2025","Tue Apr 22 08:16:13 UTC 2025","2869","","Locating elements by text using CSS","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByTextUsingCSS","locateAProductItemByText","Using :text",""
"passed","Tue Apr 22 08:16:50 UTC 2025","Tue Apr 22 08:16:51 UTC 2025","945","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","fileUploads","File uploads",""
"broken","Tue Apr 22 08:17:22 UTC 2025","Tue Apr 22 08:17:26 UTC 2025","4086","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online customer"
"passed","Tue Apr 22 08:16:17 UTC 2025","Tue Apr 22 08:16:18 UTC 2025","877","","Interacting with text fields","","org.sashiba.PlaywrightFormsTest$WhenInteractingWithTextFields","fileUploads","File uploads",""
"passed","Tue Apr 22 08:16:47 UTC 2025","Tue Apr 22 08:16:48 UTC 2025","1093","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","messageTooShort","The message must be at least 50 characters long",""
"passed","Tue Apr 22 08:16:41 UTC 2025","Tue Apr 22 08:16:42 UTC 2025","938","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","textFieldValues","Text fields",""
"passed","Tue Apr 22 08:16:04 UTC 2025","Tue Apr 22 08:16:06 UTC 2025","1622","","Locating visible elements","","org.sashiba.PlaywrightLocatorsTest$LocatingVisibleElements","locateVisibleAndInvisibleItems","Finding visible and invisible elements",""
"passed","Tue Apr 22 08:16:42 UTC 2025","Tue Apr 22 08:16:43 UTC 2025","1118","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","invalidEmailField","The email address must be correctly formatted 'not-an-email' should be rejected",""
"broken","Tue Apr 22 08:17:27 UTC 2025","Tue Apr 22 08:17:29 UTC 2025","1987","","Product Catalog","","The one where Sally searches for an Adjustable Wrench","","The one where Sally searches for an Adjustable Wrench","  As a customer,
  I want to easily search, filter and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online customer"
"passed","Tue Apr 22 08:16:21 UTC 2025","Tue Apr 22 08:16:23 UTC 2025","1885","","Locating elements by role","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByRole","byCheckboxes","Identifying checkboxes",""
"broken","Tue Apr 22 08:17:22 UTC 2025","Tue Apr 22 08:17:27 UTC 2025","5099","","Product Catalog","","The one where Sally only wants to see Hand Saws","","The one where Sally only wants to see Hand Saws","  As a customer,
  I want to easily search, filter and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online customer"
"passed","Tue Apr 22 08:16:27 UTC 2025","Tue Apr 22 08:16:28 UTC 2025","1659","","Locating elements by role","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByRole","byHeaderRoleLevel","Using the HEADING role and level",""
"passed","Tue Apr 22 08:16:54 UTC 2025","Tue Apr 22 08:16:55 UTC 2025","1409","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","mandatoryFields","Mandatory fields [3] fieldName=Email",""
"broken","Tue Apr 22 08:17:26 UTC 2025","Tue Apr 22 08:17:28 UTC 2025","2114","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online customer"
"passed","Tue Apr 22 08:15:49 UTC 2025","Tue Apr 22 08:15:50 UTC 2025","919","","Playwright allows us to mock out API responses","","org.sashiba.PlaywrightRestAPITest$MockingAPIResponses","whenASingleItemIsFound","When a search returns a single product",""
"passed","Tue Apr 22 08:15:52 UTC 2025","Tue Apr 22 08:15:53 UTC 2025","1569","","org.sashiba.PlaywrightWaitsTest.WaitingForAPICalls","","org.sashiba.PlaywrightWaitsTest$WaitingForAPICalls","sortByDescendingPrice","sortByDescendingPrice()",""
"passed","Tue Apr 22 08:16:17 UTC 2025","Tue Apr 22 08:16:18 UTC 2025","719","","Locating elements using CSS","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsUsingCSS","byId","By Id",""
"passed","Tue Apr 22 08:16:42 UTC 2025","Tue Apr 22 08:16:47 UTC 2025","5311","","Shopping Cart","","org.sashiba.toolshop.catalog.AddToCartTest","whenCheckingOutASingleItem","Checking for single item",""
"passed","Tue Apr 22 08:16:17 UTC 2025","Tue Apr 22 08:16:17 UTC 2025","841","","Locating elements using CSS","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsUsingCSS","byAttribute","By attribute",""
"passed","Tue Apr 22 08:16:47 UTC 2025","Tue Apr 22 08:16:57 UTC 2025","9856","","Shopping Cart","","org.sashiba.toolshop.catalog.AddToCartTest","withoutPageObjects","Without Page Objects",""
"passed","Tue Apr 22 08:15:40 UTC 2025","Tue Apr 22 08:15:42 UTC 2025","1482","","org.sashiba.PlaywrightPageObjectTest.WhenSearchingProductsByKeyword","","org.sashiba.PlaywrightPageObjectTest$WhenSearchingProductsByKeyword","withoutPageObjects","Without Page Objects",""
"passed","Tue Apr 22 08:16:09 UTC 2025","Tue Apr 22 08:16:11 UTC 2025","1463","","org.sashiba.PlaywrightWaitsTest.WaitingForState","","org.sashiba.PlaywrightWaitsTest$WaitingForState","shouldShowAllProductNames","shouldShowAllProductNames()",""
"passed","Tue Apr 22 08:16:45 UTC 2025","Tue Apr 22 08:16:47 UTC 2025","1799","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","completeForm","Customers can use the contact form to contact us",""
"passed","Tue Apr 22 08:15:54 UTC 2025","Tue Apr 22 08:15:54 UTC 2025","514","","org.sashiba.ASimplePlaywrightTest","","org.sashiba.ASimplePlaywrightTest","searchFieldTest","searchFieldTest()",""
"passed","Tue Apr 22 08:16:35 UTC 2025","Tue Apr 22 08:16:38 UTC 2025","2557","","Locating elements by Text","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByText","byAltText","Using alt text",""
"passed","Tue Apr 22 08:16:43 UTC 2025","Tue Apr 22 08:16:44 UTC 2025","1031","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","invalidEmailField","The email address must be correctly formatted 'not-an.email.com' should be rejected",""
"passed","Tue Apr 22 08:15:20 UTC 2025","Tue Apr 22 08:15:22 UTC 2025","2371","","Searching for products","","org.sashiba.toolshop.catalog.SearchForProductsTest","clearingTheSearchResults","When the user clears a previous search results",""
"passed","Tue Apr 22 08:16:32 UTC 2025","Tue Apr 22 08:16:33 UTC 2025","1299","","Finding text in a list","","org.sashiba.PlaywrightCollectionsTest$FindingTheTextInAList","withHasText","and asserting with  hasText",""
"passed","Tue Apr 22 08:16:16 UTC 2025","Tue Apr 22 08:16:17 UTC 2025","841","","Interacting with text fields","","org.sashiba.PlaywrightFormsTest$WhenInteractingWithTextFields","dropdownFieldValues","Dropdown lists",""
"passed","Tue Apr 22 08:16:12 UTC 2025","Tue Apr 22 08:16:13 UTC 2025","943","","Interacting with text fields","","org.sashiba.PlaywrightFormsTest$WhenInteractingWithTextFields","locateTheSendButtonByAttribute","By attribute",""
"passed","Tue Apr 22 08:16:15 UTC 2025","Tue Apr 22 08:16:16 UTC 2025","890","","Interacting with text fields","","org.sashiba.PlaywrightFormsTest$WhenInteractingWithTextFields","locateTheSendButtonByCssClass","By CSS class",""
"passed","Tue Apr 22 08:15:16 UTC 2025","Tue Apr 22 08:15:18 UTC 2025","1764","","Searching for products","","org.sashiba.toolshop.catalog.SearchForProductsTest","whenThereIsNoMatchingProduct","When there are no matching results",""
"passed","Tue Apr 22 08:16:07 UTC 2025","Tue Apr 22 08:16:09 UTC 2025","1809","","org.sashiba.PlaywrightWaitsTest.AutomaticWaits","","org.sashiba.PlaywrightWaitsTest$AutomaticWaits","shouldFilterProductsByCategory","Should filter products by category",""
"passed","Tue Apr 22 08:15:46 UTC 2025","Tue Apr 22 08:15:49 UTC 2025","2537","","Making assertions about data values","","org.sashiba.PlaywrightAssertionsTest$MakingAssertionsAboutDataValues","shouldSortInReverseAlphabeticalOrder","shouldSortInReverseAlphabeticalOrder()",""
"passed","Tue Apr 22 08:15:53 UTC 2025","Tue Apr 22 08:15:57 UTC 2025","3792","","org.sashiba.PlaywrightWaitsTest.WaitingForElementsToAppearAndDisappear","","org.sashiba.PlaywrightWaitsTest$WaitingForElementsToAppearAndDisappear","shouldUpdateCartItemCount","Should update the cart item count",""
"passed","Tue Apr 22 08:14:53 UTC 2025","Tue Apr 22 08:15:15 UTC 2025","21170","","Searching for products","","org.sashiba.toolshop.catalog.SearchForProductsTest","whenSearchingByKeyword","When there are matching results",""
"passed","Tue Apr 22 08:16:49 UTC 2025","Tue Apr 22 08:16:50 UTC 2025","974","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","dropdownFieldValues","Dropdown lists",""
"broken","Tue Apr 22 08:17:22 UTC 2025","Tue Apr 22 08:17:26 UTC 2025","4071","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online customer"
"passed","Tue Apr 22 08:15:55 UTC 2025","Tue Apr 22 08:15:57 UTC 2025","1703","","Nested locators","","org.sashiba.PlaywrightLocatorsTest$NestedLocators","filteringMenuItemsByLocator","filtering locators by locator",""
"passed","Tue Apr 22 08:15:57 UTC 2025","Tue Apr 22 08:16:06 UTC 2025","8775","","org.sashiba.PlaywrightWaitsTest.WaitingForElementsToAppearAndDisappear","","org.sashiba.PlaywrightWaitsTest$WaitingForElementsToAppearAndDisappear","shouldDisplayToasterMessage","It should display a toaster message when an item is added to the cart",""
"passed","Tue Apr 22 08:15:12 UTC 2025","Tue Apr 22 08:15:15 UTC 2025","2973","","org.sashiba.AddingItemsToTheCartTest","","org.sashiba.AddingItemsToTheCartTest","searchForPliers","Search for pliers",""
"passed","Tue Apr 22 08:16:26 UTC 2025","Tue Apr 22 08:16:27 UTC 2025","1377","","org.sashiba.PlaywrightCollectionsTest","","org.sashiba.PlaywrightCollectionsTest","findingLastMatchingItem","Finding the last matching item",""
"passed","Tue Apr 22 08:15:17 UTC 2025","Tue Apr 22 08:15:26 UTC 2025","8431","","org.sashiba.PlaywrightPageObjectTest.WhenAddingItemsToTheCart","","org.sashiba.PlaywrightPageObjectTest$WhenAddingItemsToTheCart","whenCheckingOutMultipleItems","whenCheckingOutMultipleItems()",""
"passed","Tue Apr 22 08:16:22 UTC 2025","Tue Apr 22 08:16:22 UTC 2025","925","","Interacting with text fields","","org.sashiba.PlaywrightFormsTest$WhenInteractingWithTextFields","mandatoryFields","Mandatory fields [4] fieldName=Message",""
"broken","Tue Apr 22 08:17:26 UTC 2025","Tue Apr 22 08:17:28 UTC 2025","1963","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online customer"
"passed","Tue Apr 22 08:15:46 UTC 2025","Tue Apr 22 08:15:48 UTC 2025","1788","","org.sashiba.PlaywrightRestAPITest.MakingAPICalls","","org.sashiba.PlaywrightRestAPITest$MakingAPICalls","checkKnownProducts","Check presence of known products Checking product Product[name=Phillips Screwdriver, price=4.92]",""
"passed","Tue Apr 22 08:16:28 UTC 2025","Tue Apr 22 08:16:30 UTC 2025","1503","","Locating elements by Labels and Placeholders","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByLabelsPlaceHolders","byLabel","Using a label",""
"passed","Tue Apr 22 08:16:32 UTC 2025","Tue Apr 22 08:16:35 UTC 2025","2651","","Locating elements by Text","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByText","byText","Locating an element by text contents",""
"passed","Tue Apr 22 08:15:49 UTC 2025","Tue Apr 22 08:15:50 UTC 2025","1183","","Making assertions about data values","","org.sashiba.PlaywrightAssertionsTest$MakingAssertionsAboutDataValues","allProductPricesShouldBeCorrectValues","allProductPricesShouldBeCorrectValues()",""
"passed","Tue Apr 22 08:15:26 UTC 2025","Tue Apr 22 08:15:35 UTC 2025","9789","","org.sashiba.PlaywrightPageObjectTest.WhenAddingItemsToTheCart","","org.sashiba.PlaywrightPageObjectTest$WhenAddingItemsToTheCart","withoutPageObjects","Without Page Objects",""
"passed","Tue Apr 22 08:15:36 UTC 2025","Tue Apr 22 08:15:38 UTC 2025","1837","","org.sashiba.PlaywrightRestAPITest.MakingAPICalls","","org.sashiba.PlaywrightRestAPITest$MakingAPICalls","checkKnownProducts","Check presence of known products Checking product Product[name=Claw Hammer with Fiberglass Handle, price=20.14]",""
"passed","Tue Apr 22 08:15:42 UTC 2025","Tue Apr 22 08:15:43 UTC 2025","1451","","org.sashiba.PlaywrightPageObjectTest.WhenSearchingProductsByKeyword","","org.sashiba.PlaywrightPageObjectTest$WhenSearchingProductsByKeyword","withPageObjects","With Page Objects",""
"broken","Tue Apr 22 08:17:22 UTC 2025","Tue Apr 22 08:17:25 UTC 2025","3605","","Product Catalog","","The one where Sally searches for a product that doesn't exist","","The one where Sally searches for a product that doesn't exist","  As a customer,
  I want to easily search, filter and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online customer"
"passed","Tue Apr 22 08:16:07 UTC 2025","Tue Apr 22 08:16:10 UTC 2025","2934","","Locating elements by text using CSS","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByTextUsingCSS","locateAProductItemByTextIs","Using :text-is",""
"passed","Tue Apr 22 08:16:18 UTC 2025","Tue Apr 22 08:16:21 UTC 2025","2653","","Locating elements by Test id","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByTestId","byTestId","Using a custom data-test field",""
"passed","Tue Apr 22 08:15:35 UTC 2025","Tue Apr 22 08:15:40 UTC 2025","4892","","org.sashiba.PlaywrightPageObjectTest.WhenAddingItemsToTheCart","","org.sashiba.PlaywrightPageObjectTest$WhenAddingItemsToTheCart","withPageObjects","withPageObjects()",""
"passed","Tue Apr 22 08:16:38 UTC 2025","Tue Apr 22 08:16:39 UTC 2025","1780","","Locating elements by Text","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByText","byTitle","Using title",""
"passed","Tue Apr 22 08:16:48 UTC 2025","Tue Apr 22 08:16:49 UTC 2025","1086","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","locateTheSendButtonByCssClass","By CSS class",""
"passed","Tue Apr 22 08:16:25 UTC 2025","Tue Apr 22 08:16:27 UTC 2025","1775","","Locating elements by role","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsByRole","byHeaderRole","Using the HEADING role",""
"passed","Tue Apr 22 08:15:16 UTC 2025","Tue Apr 22 08:15:17 UTC 2025","783","","org.sashiba.AnAnnotatedPlaywrightTest","","org.sashiba.AnAnnotatedPlaywrightTest","searchFieldTest","searchFieldTest(Page)",""
"passed","Tue Apr 22 08:16:14 UTC 2025","Tue Apr 22 08:16:15 UTC 2025","864","","Interacting with text fields","","org.sashiba.PlaywrightFormsTest$WhenInteractingWithTextFields","completeForm","Complete form",""
